code,kor_label,eng_label,설명/비고
KDRAMA_001,전통사극,Traditional Historical,조선·고려 등 고전시대 배경
KDRAMA_002,퓨전사극,Historical Fusion,현대적 요소 결합 사극
KDRAMA_003,근현대극,Modern Historical,일제강점기·현대 초창기
KDRAMA_004,청춘로맨스,Youth Romance,청소년·대학생 중심 로맨스
KDRAMA_005,멜로,Melodrama,감정 중심 드라마
KDRAMA_006,로맨틱코미디,Romantic Comedy,코믹한 러브스토리
KDRAMA_007,학교물,School Drama,고등학교·대학 등 학교 배경
KDRAMA_008,성장드라마,Coming-of-Age,청소년·성장과정 중심
KDRAMA_009,가족드라마,Family Drama,가족 중심, 세대 갈등 등
KDRAMA_010,휴먼드라마,Human Drama,인간애·감동 중심
KDRAMA_011,법정물,Legal Drama,변호사·검사·법원 등
KDRAMA_012,의학드라마,Medical Drama,병원·의사·간호사 중심
KDRAMA_013,스릴러,Thriller,긴장감·추리 중심
KDRAMA_014,미스터리,Mystery,사건·비밀·반전 등
KDRAMA_015,범죄수사,Crime/Investigation,형사·수사·경찰 등
KDRAMA_016,정치드라마,Political Drama,정치·권력·사회 비판
KDRAMA_017,판타지,Fantasy,초능력·비현실적 소재
KDRAMA_018,타임슬립,Time Slip,시간여행·시공간 이동
KDRAMA_019,SF,Science Fiction,과학·우주·미래 소재
KDRAMA_020,웹툰원작,Webtoon-based,웹툰·웹소설 원작
KDRAMA_021,로맨스판타지,Romance Fantasy,로맨스+판타지
KDRAMA_022,로맨스멜로,Romance Melodrama,정통 러브스토리
KDRAMA_023,청춘성장,Youth & Growth,성장통·성인식
KDRAMA_024,캠퍼스물,Campus Drama,대학교 배경
KDRAMA_025,직장물,Office Drama,회사·직장인 중심
KDRAMA_026,경제드라마,Economic Drama,기업·경제 소재
KDRAMA_027,음악드라마,Music Drama,음악·밴드·아이돌 등
KDRAMA_028,예술드라마,Art Drama,미술·연극·무용 등
KDRAMA_029,의료판타지,Medical Fantasy,의학+초자연 소재
KDRAMA_030,군대드라마,Military Drama,군 생활·군인 중심
KDRAMA_031,로맨틱스릴러,Romantic Thriller,스릴러+로맨스
KDRAMA_032,재벌/재계물,Chaebol Drama,재벌가·기업가 배경
KDRAMA_033,복수극,Revenge Drama,복수·응징 중심
KDRAMA_034,사회비판,Social Critique,사회문제·비판
KDRAMA_035,법의학,Forensic Drama,법의학·범죄분석
KDRAMA_036,가상역사,Alternate History,역사 왜곡/가상
KDRAMA_037,코미디,Comedy,유쾌한 에피소드
KDRAMA_038,로맨스스릴러,Romance Thriller,로맨스+서스펜스
KDRAMA_039,호러,Horror,공포·심령 소재
KDRAMA_040,재난드라마,Disaster Drama,재난·위기 상황
KDRAMA_041,환경드라마,Environmental,환경·생태 소재
KDRAMA_042,장르혼합,Mixed Genre,복합장르
KDRAMA_043,법정스릴러,Legal Thriller,법정+스릴러
KDRAMA_044,첩보물,Spy Drama,첩보·정보기관 소재
KDRAMA_045,아동/키즈,Kids Drama,아동·가족 시청용
KDRAMA_046,동물드라마,Animal Drama,동물·펫 소재
KDRAMA_047,하이틴로맨스,Teen Romance,고등학생 중심 러브스토리
KDRAMA_048,직업드라마,Occupation Drama,특정 직업(소방관 등)
KDRAMA_049,서바이벌,Survival Drama,생존·경쟁 구조
KDRAMA_050,단막극,Omnibus Drama,단편 에피소드형
KDRAMA_051,인터랙티브,Interactive Drama,시청자 참여형
KDRAMA_052,미니시리즈,Miniseries,짧은 시즌 구성
KDRAMA_053,장편드라마,Long-run Drama,50부작 이상 등
KDRAMA_054,다큐드라마,Docu Drama,실제사건 기반
KDRAMA_055,실화극,True Story,실제 인물/사건
KDRAMA_056,동성애/퀴어,Queer Drama,LGBTQ 소재
KDRAMA_057,공포로맨스,Horror Romance,공포+러브스토리
KDRAMA_058,범죄코미디,Crime Comedy,범죄+코믹
KDRAMA_059,추억극,Nostalgia,과거 회상 중심
KDRAMA_060,영웅물,Hero Drama,히어로/영웅 소재
KDRAMA_061,의료스릴러,Medical Thriller,의학+서스펜스
KDRAMA_062,운명/환생,Fate/Reincarnation,환생·운명 소재
KDRAMA_063,음식드라마,Food Drama,요리·음식 소재
KDRAMA_064,스포츠드라마,Sports Drama,스포츠/경기 중심
KDRAMA_065,여행드라마,Travel Drama,여행기 구조
