code,kor_label,eng_label,설명/비고
DRAMA_GEN,드라마(전체),Drama (General),모든 장르의 드라마/시리즈 통합
DRAMA_ROM_GEN,로맨스,Romance,사랑·연애 중심 서사
DRAMA_ROM_OFFICE,오피스 로맨스,Office Romance,직장·사무실 내 연애
DRAMA_ROM_CAMPUS,캠퍼스 로맨스,Campus Romance,대학·고교 캠퍼스 연애
DRAMA_ROM_NOONA,연상연하 로맨스,Older Woman Romance,연상녀·연하남 등 연상연하 커플
DRAMA_ROM_SECONDCHANCE,재회 로맨스,Second Chance Romance,이별 후 재회·이혼 후 재결합
DRAMA_ROM_TRIANGLE,삼각관계,Love Triangle,삼각/다각관계 연애
DRAMA_ROM_LONGDIST,장거리 연애,Long-Distance Romance,거리 극복 로맨스
DRAMA_ROM_MARRIED,기혼자 로맨스,Married Romance,기혼/불륜/금기 사랑
DRAMA_ROM_FIRSTLOVE,첫사랑,First Love,첫사랑 테마 성장
DRAMA_ROM_FORBIDDEN,금지된 사랑,Forbidden Love,신분차·나이차·사회적 금기
DRAMA_ROM_BL,BL(보이즈러브),Boys’ Love,남성 동성 로맨스
DRAMA_ROM_GL,GL(걸즈러브),Girls’ Love,여성 동성 로맨스
DRAMA_ROM_YOUNGADULT,청춘 로맨스,Youth Romance,20대 청춘 사랑
DRAMA_ROM_MELODRAMA,멜로,Melodrama,감성·애절 중심
DRAMA_ROM_HISTORICAL,사극 로맨스,Historical Romance,전통/역사 배경 연애
DRAMA_FAM_GEN,가족극,Family Drama,가족관계·가정사 중심
DRAMA_FAM_MULTIGENER,세대갈등 가족극,Multi-Generational Family Drama,다세대 갈등
DRAMA_FAM_SINGLEPARENT,싱글맘/대디,Single Parent Family,한부모 가족 이야기
DRAMA_FAM_ADOPTION,입양 가족,Adoption Family,입양/위탁가정
DRAMA_FAM_MARRIAGE,결혼/이혼,Marriage/Divorce,결혼생활·이혼 등
DRAMA_FAM_SIBLING,형제자매,Sibling Drama,형제·자매 이야기
DRAMA_FAM_STEPFAMILY,재혼가족,Step Family,재혼·합가·이복가족
DRAMA_FAM_ELDERLY,노부모/노인,Senior Family Drama,노인·노부모 케어
DRAMA_FAM_CHILDDRA,자녀 성장,Child Growth Drama,자녀 양육/성장
DRAMA_SOC_GEN,사회문제,Social Issue,사회/시대상·제도
DRAMA_SOC_FEMINISM,페미니즘,Feminism,여성서사·여성문제
DRAMA_SOC_CLASS,계급/빈부,Class/Wealth,부자·서민·계급차
DRAMA_SOC_RACE,인종/다문화,Race/Multicultural,인종차별·이주·다문화
DRAMA_SOC_DISABILITY,장애/질병,Disability/Illness,장애·난치병·극복
DRAMA_SOC_ENVIRONMENT,환경문제,Environment,기후변화·환경
DRAMA_SOC_POLITICS,정치,Political,정치/권력/비리
DRAMA_SOC_CORRUPTION,비리/부패,Corruption,기업/정부 부패
DRAMA_THR_GEN,스릴러,Thriller,긴장/반전·서스펜스
DRAMA_THR_PSYCHO,심리 스릴러,Psychological Thriller,정신/광기/두뇌싸움
DRAMA_THR_POLICE,경찰 스릴러,Police Thriller,경찰/형사 주인공
DRAMA_THR_LEGAL,법정 스릴러,Legal Thriller,재판·법조
DRAMA_THR_POLITICS,정치 스릴러,Political Thriller,정치·권력
DRAMA_THR_TECH,테크/AI 스릴러,Tech/AI Thriller,첨단기술/해킹/AI
DRAMA_THR_MEDICAL,메디컬 스릴러,Medical Thriller,의료사고/의료음모
DRAMA_THR_CRIME,범죄 스릴러,Crime Thriller,범죄·조직·도둑
DRAMA_THR_SUPERNATURAL,초자연 스릴러,Supernatural Thriller,귀신/초능력/이변
DRAMA_THR_SURVIVAL,생존/서바이벌,Survival Thriller,재난/생존/탈출
DRAMA_THR_HUNT,추격전,Manhunt,도망자/추격자 소재
DRAMA_CRIME_GEN,범죄극,Crime Drama,수사/추리/범죄조직
DRAMA_CRIME_SERIAL,연쇄살인,Serial Killer,연쇄살인마 수사
DRAMA_CRIME_DETECTIVE,탐정/사설탐정,Detective,탐정·사설수사관
DRAMA_CRIME_POLICE,경찰,Police,경찰물·형사·팀
